protein_1	A1URA3
protein_4491	P05052
protein_4492	P9WGJ7
protein_4493	B1ZWP4
protein_4494	Q4A909
protein_4495	A1WX32
protein_4496	A9NFN7
protein_4497	O27350
protein_4498	B2J5F8
protein_4499	Q60176
protein_4500	Q869Y7
protein_4501	Q9R9N3
protein_4502	P80481
protein_4503	B2RLI9
protein_4504	P71499
protein_4505	Q3B2T4
protein_4506	Q72DW7
protein_4507	Q9P5U4
protein_4508	A9WFZ9
protein_4509	B0U620
protein_4510	B1YMD7
protein_4511	B2TIB8
protein_4512	B4RA70
protein_4513	Q7NM86
protein_4514	A4WDH8
protein_4515	B2IDD9
protein_4516	P63187
protein_4517	B8D891
protein_4518	B9DLR4
protein_4519	C1B4L2
protein_4520	C6DKG5
protein_4521	P52900
protein_4522	Q54EW8
protein_4523	A0LRU4
protein_4524	Q1IJS5
protein_4525	E5Y944
protein_4526	A0A7K1SAW5
protein_4527	A3CL43
protein_4528	B5YDZ9
protein_4529	Q6MKB4
protein_4530	B7J0N5
protein_4531	Q45535
protein_4532	A4IN74
protein_4533	O31622
protein_4534	P49783
protein_4535	A0AKK9
protein_4536	B1W3G0
protein_4537	Q8TWH2
protein_4538	P39120
protein_4539	D9PVI7
protein_4540	A0A369WGD1
protein_4541	A0A3E0DSU6
protein_4542	A0A3N9QN08
protein_4543	A0A8H8XU82
protein_4544	I4N3B7
protein_4545	P23837
protein_4546	P77790
protein_4547	B7N3W1
protein_4548	B0S2N4
protein_4549	P0AD03
protein_4550	Q6A997
protein_4551	Q8G4X4
protein_4552	E0CTF3
protein_4553	A9BJX5
protein_4554	B0SCX2
protein_4555	B1VG60
protein_4556	B2GEY4
protein_4557	B3PMJ0
protein_4558	A7HSK9
protein_4559	C0QXH9
protein_4560	Q2NIG1
protein_4561	Q7M901
protein_4562	Q6MHQ3
protein_4563	Q30ZR4
protein_4564	Q3IDE8
protein_4565	Q4FPI1
protein_4566	Q5QUB6
protein_4567	Q68XI5
protein_4568	P0AFP6
protein_4569	O31584
protein_4570	P9WHJ1
protein_4571	Q9X3X1
protein_4572	A0RP49
protein_4573	Q182W3
protein_4574	P45858
protein_4575	O31661
protein_4576	P17531
protein_4577	P42061
protein_4578	P39151
protein_4579	Q4L3I4
protein_4580	A5CX57
protein_4581	P22305
protein_4582	Q72GN6
protein_4583	Q0C593
protein_4584	Q1AUH1
protein_4585	Q1WT16
protein_4586	Q2LYF5
protein_4587	Q2YPM3
protein_4588	C1F111
protein_4589	O51383
protein_4590	P57610
protein_4591	Q04CX2
protein_4592	Q0TM75
protein_4593	P35157
protein_4594	P94497
protein_4595	Q9KAI7
protein_4596	Q08309
protein_4597	P50864
protein_4598	A0A0B4XT39
protein_4599	A4QFK8
protein_4600	A5FSS1
protein_4601	A5WFC8
protein_4602	A7HC61
protein_4603	A8ZUH8
protein_4604	B0TIF2
protein_4605	B1W0D5
protein_4606	B2RM62
protein_4607	B3QW86
protein_4608	B6YRR8
protein_4609	P54468
protein_4610	A5VY92
protein_4611	Q30RQ5
protein_4612	Q59106
protein_4613	O66119
protein_4614	P9WQ37
protein_4615	A0QBR0
protein_4616	A0PWB4
protein_4617	B4F1V2
protein_4618	A0A095TIJ1
protein_4619	P24808
protein_4620	P45855
protein_4621	A7GL73
protein_4622	B9M5V2
protein_4623	C5CFR8
protein_4624	O67837
protein_4625	P44945
protein_4626	P61609
protein_4627	Q8DLG1
protein_4628	Q8RCZ1
protein_4629	Q9KDI9
protein_4630	A0AEJ1
protein_4631	A1B870
protein_4632	P9WPS8
protein_4633	P9WI81
protein_4634	Q9KI10
protein_4635	Q93N69
protein_4636	P71021
protein_4637	C5D4U8
protein_4638	Q93N70
protein_4639	Q06320
protein_4640	P39764
protein_4641	O07545
protein_4642	Q4JYF5
protein_4643	Q5R108
protein_4644	Q6AB99
protein_4645	Q72LS5
protein_4646	Q2JM08
protein_4647	Q8RFS8
protein_4648	Q0ACK7
protein_4649	P0A5R3
protein_4650	O32277
protein_4651	Q99027
protein_4652	P02964
protein_4653	P37466
protein_4654	P56956
protein_4655	Q6B4J5
protein_4656	Q8Y3H5
protein_4657	P23974
protein_4658	A4FX27
protein_4659	B0C1T8
protein_4660	B9MKR9
protein_4661	Q3SH52
protein_4662	Q55569
protein_4663	Q5YYA5
protein_4664	Q6DB58
protein_4665	Q7MA00
protein_4666	A8EXC2
protein_4667	Q2S3M6
protein_4668	Q8EJW2
protein_4669	C5CER8
protein_4670	A1TSJ4
protein_4671	A5VEW5
protein_4672	A7GR98
protein_4673	A8ML82
protein_4674	A9KSS0
protein_4675	P0A8Q6
protein_4676	Q68XR2
protein_4677	Q8EV77
protein_4678	A8YER2
protein_4679	A8EWY0
protein_4680	P9WI95
protein_4681	P9WL07
protein_4682	P0AGB6
protein_4683	Q8RB77
protein_4684	D5TM67
protein_4685	A0A3N5LN64
protein_4686	B7GSG2
protein_4687	B8H429
protein_4688	C0QPF0
protein_4689	C5BDM9
protein_4690	O85824
protein_4691	A5IKQ6
protein_4692	A6QGP8
protein_4693	A8EVP9
protein_4694	A9F3W3
protein_4695	B0SGZ5
protein_4696	P43811
protein_4697	A0A077LLG7
protein_4698	A0A0L0M666
protein_4699	Q5KWC3
protein_4700	Q65UP2
protein_4701	Q6MCT3
protein_4702	Q89A45
protein_4703	Q1LNF2
protein_4704	Q1LLK8
protein_4705	B3PIL7
protein_4706	P09030
protein_4707	A9CJC9
protein_4708	A6L927
protein_4709	Q0BYG5
protein_4710	Q6MAG8
protein_4711	B0RXN7
protein_4712	Q8CV14
protein_4713	Q979N9
protein_4714	O66113
protein_4715	P07014
protein_4716	A3DLR9
protein_4717	Q3SKM1
protein_4718	Q8DK20
protein_4719	P9WFD7
protein_4720	P9WKB5
protein_4721	P9WLS4
protein_4722	Q04810
protein_4723	Q9ZIU5
protein_4724	O06721
protein_4725	P0A3T9
protein_4726	P45707
protein_4727	A0A1U9NEH7
protein_4728	B3DZP6
protein_4729	P0DO93
protein_4730	Q1LPA2
protein_4731	Q1LLG0
protein_4732	B9L615
protein_4733	Q21HA1
protein_4734	Q6A8Z5
protein_4735	A0RJ56
protein_4736	O84716
protein_4737	P94532
protein_4738	P0AD49
protein_4739	P47632
protein_4740	A9KH99
protein_4741	P52027
protein_4742	Q7NFW7
protein_4743	A0LUZ1
protein_4744	A1UED7
protein_4745	A3DGC7
protein_4746	A8FFB2
protein_4747	A9IGW1
protein_4748	B0S909
protein_4749	B2IBG3
protein_4750	A7GW99
protein_4751	B1VDE1
protein_4752	B8DNS7
protein_4753	Q0VME6
protein_4754	Q48A23
protein_4755	P9WLA3
protein_4756	P25888
protein_4757	Q8Y755
protein_4758	B2RII6
protein_4759	P56116
protein_4760	A0A140HL52
protein_4761	A0A1H7AME8
protein_4762	A0A1V0B9J6
protein_4763	A0A5K7ZWF9
protein_4764	A0A661GMN5
protein_4765	Q8FPK3
protein_4766	Q97R61
protein_4767	Q9WXF2
protein_4768	A0LZH4
protein_4769	A1QZ05
protein_4770	U2HBQ8
protein_4771	P9WKL5
protein_4772	P71380
protein_4773	D0ZKX9
protein_4774	P25894
protein_4775	Q6MJH6
protein_4776	A5VT20
protein_4777	B1JFV3
protein_4778	Q1LTV8
protein_4779	Q67J33
protein_4780	Q1INE2
protein_4781	Q2GFV4
protein_4782	Q2S254
protein_4783	Q38XB2
protein_4784	Q3JYM3
protein_4785	C0H3Y8
protein_4786	O66042
protein_4787	P39801
protein_4788	Q45058
protein_4789	A5I174
protein_4790	B5YJ32
protein_4791	Q7UXN7
protein_4792	B7T1V0
protein_4793	A4XL44
protein_4794	B0VNV8
protein_4795	B8GYL6
protein_4796	O07539
protein_4797	P54584
protein_4798	Q89A93
protein_4799	B0SHT3
protein_4800	Q892Q8
protein_4801	P0C079
protein_4802	P9WIZ7
protein_4803	A0A368JGQ1
protein_4804	A0A3N5NC13
protein_4805	A0A514BWN5
protein_4806	Q2RVF6
protein_4807	Q48AD4
protein_4808	Q5FJX7
protein_4809	Q609L1
protein_4810	Q9Z7M0
protein_4811	Q1D295
protein_4812	A5IKF4
protein_4813	Q1GCM0
protein_4814	A7I199
protein_4815	Q1IVV5
protein_4816	A0KMI7
protein_4817	A7ZEB6
protein_4818	B7J283
protein_4819	A5GR42
protein_4820	B3PNH6
protein_4821	P80469
protein_4822	Q6BXC7
protein_4823	A5IJR7
protein_4824	Q01368
protein_4825	A7I2G3
protein_4826	Q044A8
protein_4827	Q7VG06
protein_4828	Q3IDL0
protein_4829	Q4FV41
protein_4830	Q5QUT9
protein_4831	Q6A5L3
protein_4832	Q6NAL3
protein_4833	P17802
protein_4834	Q08079
protein_4835	A0KVI4
protein_4836	A1KUM5
protein_4837	A2C5E6
protein_4838	P0A151
protein_4839	P75551
protein_4840	A1QYX4
protein_4841	A8I264
protein_4842	P59569
protein_4843	A0A7D5HEI9
protein_4844	A2RIX0
protein_4845	A0QUZ2
protein_4846	P30958
protein_4847	P0DN68
protein_4848	P9WQ11
protein_4849	B3EUH8
protein_4850	P61437
protein_4851	Q6AM97
protein_4852	A1AWK6
protein_4853	Q7V2A3
protein_4854	A1VXT4
protein_4855	A8GJU8
protein_4856	B8D6X4
protein_4857	Q10VH5
protein_4858	Q5UXT1
protein_4859	Q31HA6
protein_4860	Q97BG9
protein_4861	A1QZ08
protein_4862	B4U7D5
protein_4863	Q6F157
protein_4864	Q600B5
protein_4865	Q89LB1
protein_4866	Q9UHY7
protein_4867	A7IJF6
protein_4868	B9WAM8
protein_4869	Q1LJM9
protein_4870	P44471
protein_4871	P05050
protein_4872	Q9I1X7
protein_4873	P59479
protein_4874	A1BAN1
protein_4875	A0R9F0
protein_4876	B1MW96
protein_4877	C3MWB6
protein_4878	Q1AVW2
protein_4879	Q1WTP7
protein_4880	Q2NJ78
protein_4881	Q30Q92
protein_4882	Q3B1A2
protein_4883	A7HX37
protein_4884	Q1AVL3
protein_4885	Q7UZP2
protein_4886	B4U8W2
protein_4887	Q9YE02
protein_4888	P0A6M4
protein_4889	P54475
protein_4890	A0RJ87
protein_4891	B3PN08
protein_4892	Q11QT1
protein_4893	P54616
protein_4894	A4XJL4
protein_4895	B3QSJ7
protein_4896	Q180E4
protein_4897	Q72QU2
protein_4898	Q01NV7
protein_4899	Q058C9
protein_4900	Q11DH5
protein_4901	Q1LU20
protein_4902	Q2GLI8
protein_4903	P08400
protein_4904	Q46871
protein_4905	Q9HW50
protein_4906	P0A705
protein_4907	P60785
protein_4908	P9WKA3
protein_4909	O68887
protein_4910	P39571
protein_4911	P21340
protein_4912	P65981
protein_4913	Q043G6
protein_4914	Q0IBJ8
protein_4915	Q1AZ75
protein_4916	Q24UN5
protein_4917	Q2RJF5
protein_4918	Q38YR0
protein_4919	Q47S77
protein_4920	Q57242
protein_4921	Q5YP21
protein_4922	Q47U36
protein_4923	Q98RJ5
protein_4924	P49016
protein_4925	A4YJM2
protein_4926	B0T669
protein_4927	P9WI79
protein_4928	P23621
protein_4929	Q6HBH8
protein_4930	Q8CWP9
protein_4931	B9MJZ0
protein_4932	Q67S53
protein_4933	A9KKU0
protein_4934	A5ILJ5
protein_4935	Q1LK34
protein_4936	Q1LJN4
protein_4937	Q1LHL9
protein_4938	Q5NLX3
protein_4939	P07648
protein_4940	P64545
protein_4941	Q182F0
protein_4942	Q3KJK8
protein_4943	Q9KD74
protein_4944	P16655
protein_4945	P13243
protein_4946	Q97L63
protein_4947	P02961
protein_4948	P35148
protein_4949	A3CNT9
protein_4950	A4XJS1
protein_4951	A6LPC3
protein_4952	A7IJV2
protein_4953	A0A2T5HD10
protein_4954	Q6ARM0
protein_4955	Q8PAL1
protein_4956	O32211
protein_4957	P9WJI7
protein_4958	P9WIX7
protein_4959	O29741
protein_4960	O31606
protein_4961	Q9ZH99
protein_4962	P61973
protein_4963	Q9YEA1
protein_4964	P9WGK3
protein_4965	H8EUF2
protein_4966	P9WM83
protein_4967	A0A0H3CCX2
protein_4968	C4Z030
protein_4969	P43741
protein_4970	P58965
protein_4971	Q03DT9
protein_4972	Q5QY37
protein_4973	Q6A969
protein_4974	Q723S4
protein_4975	Q7V7L7
protein_4976	Q890K1
protein_4977	A0A658K437
protein_4978	A0A6I2GUB1
protein_4979	P70754
protein_4980	Q07YI6
protein_4981	Q11YP9
protein_4982	Q1ISF4
protein_4983	Q2GG13
protein_4984	A0Q6S3
protein_4985	A9BID3
protein_4986	C5CYY5
protein_4987	P25148
protein_4988	A0A7D5V817
protein_4989	Q6MED0
protein_4990	Q7UP05
protein_4991	Q87L05
protein_4992	Q8R634
protein_4993	Q9A802
protein_4994	P42378
protein_4995	A1JP11
protein_4996	B1MKG1
protein_4997	P0A0R3
protein_4998	Q87ZG4
protein_4999	Q8R6M2
protein_5000	Q9HX17
protein_5001	Q2JXG4
protein_5002	P23857
protein_5003	P50980
protein_5004	A0PX77
protein_5005	A7GYZ1
protein_5006	B3ETH9
protein_5007	Q2GIJ8
protein_5008	Q7VMX7
protein_5009	Q8PBM1
protein_5010	Q9CD72
protein_5011	Q9ZJ57
protein_5012	O34800
protein_5013	P26906
protein_5014	P50865
protein_5015	O05391
protein_5016	P14016
protein_5017	P39043
protein_5018	Q07765
protein_5019	A0RHX9
protein_5020	B1XS61
protein_5021	B2RJ07
protein_5022	B3QZS5
protein_5023	B7GFV1
protein_5024	B8ICE5
protein_5025	B2UL69
protein_5026	B4U2H0
protein_5027	B8D122
protein_5028	B9K734
protein_5029	C4K4K4
protein_5030	B2S2D1
protein_5031	Q2RT81
protein_5032	Q98QK9
protein_5033	Q1GGU4
protein_5034	P22997
protein_5035	Q54900
protein_5036	Q5WG03
protein_5037	Q6A8K9
protein_5038	Q72DX8
protein_5039	Q826P6
protein_5040	C0ZB46
protein_5041	O32269
protein_5042	P61188
protein_5043	Q162C5
protein_5044	Q3KJK7
protein_5045	Q9KJ23
protein_5046	Q3AMB9
protein_5047	Q8CXQ7
protein_5048	B2ITL1
protein_5049	B3EP11
protein_5050	B5YIN3
protein_5051	B8FJL5
protein_5052	B9K800
protein_5053	Q9RTR0
protein_5054	O06350
protein_5055	P54582
protein_5056	O33361
protein_5057	Q45585
protein_5058	Q6MDC8
protein_5059	Q7UJJ0
protein_5060	Q87CK8
protein_5061	Q8PMX2
protein_5062	P0A8P3
protein_5063	P80873
protein_5064	A0A0H3CC29
protein_5065	A7I226
protein_5066	B2GHU5
protein_5067	A9WJ45
protein_5068	Q1MRU5
protein_5069	P66835
protein_5070	A7H910
protein_5071	A8YWE6
protein_5072	A9W8R7
protein_5073	B1HN89
protein_5074	B1ZWH2
protein_5075	Q72TF8
protein_5076	A0JUY7
protein_5077	A5FE96
protein_5078	A9GZI5
protein_5079	B3PDC2
protein_5080	A7I0A8
protein_5081	A9W1K0
protein_5082	B0U3E0
protein_5083	B1YL74
protein_5084	Q8KCD7
protein_5085	A5FVL8
protein_5086	B8G5Z3
protein_5087	Q5YYN2
protein_5088	Q98HW8
protein_5089	Q1LGX8
protein_5090	P71716
protein_5091	Q51404
protein_5092	Q747I7
protein_5093	Q7VN43
protein_5094	Q8A2N9
protein_5095	Q8XVE4
protein_5096	Q9Z6W5
protein_5097	Q46577
protein_5098	Q55681
protein_5099	Q5WLT9
protein_5100	Q6AFB5
protein_5101	Q72IF0
protein_5102	Q67Q99
protein_5103	Q6MKB6
protein_5104	Q7V7T9
protein_5105	Q89AW4
protein_5106	Q8K9U2
protein_5107	Q04747
protein_5108	P24556
protein_5109	P45706
protein_5110	Q45716
protein_5111	B6JL98
protein_5112	C9XVF1
protein_5113	P30727
protein_5114	Q2G6M4
protein_5115	A8ZXM2
protein_5116	B8GUR7
protein_5117	Q1AWM0
protein_5118	Q67LG6
protein_5119	A4QCC4
protein_5120	Q45760
protein_5121	A7GQU9
protein_5122	O32322
protein_5123	P35158
protein_5124	P94537
protein_5125	A9WSE6
protein_5126	B1HN90
protein_5127	B1ZZL9
protein_5128	B3CVK1
protein_5129	B5XKR4
protein_5130	Q5WX48
protein_5131	Q6AFB6
protein_5132	Q72KH8
protein_5133	Q836J9
protein_5134	Q8DVR7
protein_5135	Q2GLG0
protein_5136	Q2SPF3
protein_5137	Q3APQ7
protein_5138	Q4A899
protein_5139	Q5L9Q7
protein_5140	Q2GC37
protein_5141	C0R2Q3
protein_5142	A0QGK1
protein_5143	Q03SC7
protein_5144	Q0C3T7
protein_5145	Q18C86
protein_5146	Q1R1P0
protein_5147	Q2LVI1
protein_5148	A8F7A0
protein_5149	Q3ICG0
protein_5150	F2M971
protein_5151	B9DSE2
protein_5152	Q9HJ59
protein_5153	O26149
protein_5154	Q3AWF3
protein_5155	Q8D2K1
protein_5156	Q1LLR7
protein_5157	A9W640
protein_5158	B4RGS2
protein_5159	Q03VI2
protein_5160	Q2RJG0
protein_5161	Q7MBE2
protein_5162	A6TVN9
protein_5163	A8F1F7
protein_5164	A9GU24
protein_5165	B1WUV7
protein_5166	P9WQB9
protein_5167	Q6TYB1
protein_5168	O52177
protein_5169	A0A2N2HQJ9
protein_5170	O06722
protein_5171	P11863
protein_5172	P45857
protein_5173	Q65NA4
protein_5174	P06630
protein_5175	Q9LA06
protein_5176	B2TFQ5
protein_5177	P61185
protein_5178	Q6ML73
protein_5179	B4ET62
protein_5180	B1ZN17
protein_5181	B3CM71
protein_5182	B5ENT6
protein_5183	B8EJI4
protein_5184	B9KXM2
protein_5185	A1SZU8
protein_5186	O67528
protein_5187	P18159
protein_5188	B0K3N1
protein_5189	O31428
protein_5190	A1VXG9
protein_5191	A5EW70
protein_5192	A5UTH3
protein_5193	A6VN10
protein_5194	A7NRZ0
protein_5195	B2GKG9
protein_5196	B8J3C2
protein_5197	Q1H1I4
protein_5198	Q5N1L4
protein_5199	P36557
protein_5200	Q01625
protein_5201	A2C018
protein_5202	A9KBS9
protein_5203	Q0A4L6
protein_5204	Q03928
protein_5205	Q2RJF9
protein_5206	Q6A998
protein_5207	Q8KG79
protein_5208	Q15QR9
protein_5209	Q1MQH2
protein_5210	Q2J868
protein_5211	A1SWZ8
protein_5212	A3MZR1
protein_5213	A4XPF7
protein_5214	A5GQ22
protein_5215	A6TFP6
protein_5216	P0C0Z8
protein_5217	Q5PAS6
protein_5218	Q9F746
protein_5219	Q49YY6
protein_5220	Q1LRB3
protein_5221	A0A7V9QCH9
protein_5222	A0A7Y1TD46
protein_5223	Q9PQ76
protein_5224	A1K606
protein_5225	A1WTL2
protein_5226	A4QAN3
protein_5227	Q04E62
protein_5228	A5EXZ5
protein_5229	O84079
protein_5230	Q4JX42
protein_5231	A1RU43
protein_5232	P9WGG9
protein_5233	B0TZA7
protein_5234	P36995
protein_5235	Q6AS16
protein_5236	Q8RHK0
protein_5237	Q18B13
protein_5238	Q4G386
protein_5239	B4UDP2
protein_5240	Q8D1Y6
protein_5241	Q8KB35
protein_5242	Q03MK4
protein_5243	Q1LJ60
protein_5244	Q1LS04
protein_5245	Q1LJR3
protein_5246	Q5SI82
protein_5247	A8YTQ6
protein_5248	Q2GD63
protein_5249	A0Q7F1
protein_5250	A8EY32
protein_5251	P56100
protein_5252	O34358
protein_5253	Q47421
protein_5254	D6JLP0
protein_5255	P32977
protein_5256	B8FG16
protein_5257	B9K7B8
protein_5258	C1F4W9
protein_5259	Q7VBL0
protein_5260	P76073
protein_5261	A5GJ48
protein_5262	B3P2A7
protein_5263	P61492
protein_5264	Q9RY80
protein_5265	A0A0E3ZF63
protein_5266	A0A0S8Z646
protein_5267	A0A1H4A6I2
protein_5268	O05942
protein_5269	P45239
protein_5270	Q7WVY0
protein_5271	A5A615
protein_5272	B1I6D9
protein_5273	A7HD93
protein_5274	A8YTI0
protein_5275	A9NBB7
protein_5276	B0TLA6
protein_5277	B1W1Y7
protein_5278	A0A1H2EAC7
protein_5279	A0A1W1VID3
protein_5280	C4L405
protein_5281	O67905
protein_5282	P67078
protein_5283	Q07XW5
protein_5284	Q11W94
protein_5285	P0AEY3
protein_5286	P0ACA3
protein_5287	A8AKK2
protein_5288	P0A850
protein_5289	Q97D82
protein_5290	Q0C511
protein_5291	Q47B80
protein_5292	B2SBS2
protein_5293	Q7NSP5
protein_5294	A4QEA1
protein_5295	B0S9E8
protein_5296	C0QC99
protein_5297	Q2JJZ9
protein_5298	C0Z7Z0
protein_5299	O31544
protein_5300	O86820
protein_5301	B8I6C2
protein_5302	Q8DHE3
protein_5303	A7I644
protein_5304	Q2RM94
protein_5305	P31660
protein_5306	A6NNW6
protein_5307	A7TN25
protein_5308	C3MPU0
protein_5309	Q0RQV6
protein_5310	Q6MPQ2
protein_5311	Q1LKN9
protein_5312	Q2GJL7
protein_5313	Q2SF17
protein_5314	Q3A504
protein_5315	Q3SRB6
protein_5316	A3DH20
protein_5317	A4YZJ3
protein_5318	A5IH02
protein_5319	A6QGP7
protein_5320	A8ETQ3
protein_5321	Q7N9N4
protein_5322	Q81UJ9
protein_5323	Q8E220
protein_5324	Q92GB7
protein_5325	Q9Z847
protein_5326	P80645
protein_5327	P0A7N1
protein_5328	P9WL31
protein_5329	P0AE67
protein_5330	P55798
protein_5331	Q3M9A3
protein_5332	Q4L7K8
protein_5333	Q5QYV0
protein_5334	Q6A763
protein_5335	Q6NGX4
protein_5336	Q1GKS4
protein_5337	Q8G6C6
protein_5338	A0L673
protein_5339	B2U987
protein_5340	Q493W6
protein_5341	A8MFD2
protein_5342	B2VAE4
protein_5343	B9L505
protein_5344	Q1WUH1
protein_5345	Q67NL1
protein_5346	Q6AEC0
protein_5347	B2UKV6
protein_5348	A5VLU9
protein_5349	C1A9H6
protein_5350	A0LN68
protein_5351	P52087
protein_5352	P75558
protein_5353	Q04GA2
protein_5354	Q0VLB7
protein_5355	Q1GN82
protein_5356	Q68X22
protein_5357	Q6MQS6
protein_5358	Q7UXK9
protein_5359	Q88I82
protein_5360	Q8RA70
protein_5361	A8FAD6
protein_5362	Q6A947
protein_5363	A0A159BP93
protein_5364	B0R7Q0
protein_5365	Q6LQ03
protein_5366	Q839Z2
protein_5367	Q8FUL4
protein_5368	Q985A3
protein_5369	B2GEY3
protein_5370	B3PLX9
protein_5371	B6ITI4
protein_5372	B8HV17
protein_5373	C0ZAN2
protein_5374	Q2SIW9
protein_5375	Q3A734
protein_5376	Q3SSP2
protein_5377	Q5F928
protein_5378	Q5ZX66
protein_5379	Q0AVE3
protein_5380	Q183P3
protein_5381	Q1RJR7
protein_5382	Q2N5P5
protein_5383	Q31EB2
protein_5384	P49785
protein_5385	Q45832
protein_5386	A7Z570
protein_5387	O32723
protein_5388	P37541
protein_5389	A7I798
protein_5390	B7J2K5
protein_5391	Q08BC6
protein_5392	Q6INX4
protein_5393	B0S1R5
protein_5394	Q2GCH6
protein_5395	C5D802
protein_5396	Q59098
protein_5397	Q59662
protein_5398	A7GYI5
protein_5399	Q4JSL5
protein_5400	Q5QW89
protein_5401	Q6A780
protein_5402	Q720K2
protein_5403	Q7V1I9
protein_5404	O34853
protein_5405	Q08352
protein_5406	O32724
protein_5407	P26903
protein_5408	P45859
protein_5409	P07790
protein_5410	P62552
protein_5411	A1W0P5
protein_5412	O27352
protein_5413	A0A3M8QXD6
protein_5414	A0A495B807
protein_5415	A0A4V2FTF6
protein_5416	Q7UQ68
protein_5417	Q87VJ2
protein_5418	Q8R689
protein_5419	Q9CDM9
protein_5420	Q24R48
protein_5421	Q52812
protein_5422	Q8YDM5
protein_5423	A0KEG8
protein_5424	A0A085WC54
protein_5425	A0A0N1L185
protein_5426	O86169
protein_5427	A3QBM7
protein_5428	A9KNK1
protein_5429	B9KYE6
protein_5430	Q1LSL8
protein_5431	B6J016
protein_5432	B8G3J6
protein_5433	B9L9T8
protein_5434	C4L9N1
protein_5435	O83049
protein_5436	B8DT91
protein_5437	Q11RE0
protein_5438	Q4FPN1
protein_5439	Q8KDS2
protein_5440	B2UGZ7
protein_5441	A5WFD7
protein_5442	A7HJD6
protein_5443	A9A0L9
protein_5444	B0B875
protein_5445	B1HVA4
protein_5446	P59507
protein_5447	Q2GKR7
protein_5448	Q72Q66
protein_5449	A3M319
protein_5450	P57845
protein_5451	O50224
protein_5452	P11742
protein_5453	P49997
protein_5454	Q04EX9
protein_5455	Q9ZN70
protein_5456	A0AGW6
protein_5457	P0A707
protein_5458	P76594
protein_5459	A5FG89
protein_5460	Q6ANL3
protein_5461	A1AW91
protein_5462	A7H6N5
protein_5463	B5RL84
protein_5464	Q0ATH6
protein_5465	Q2NGM5
protein_5466	I6Y9Q3
protein_5467	C0ZCH6
protein_5468	A1AW41
protein_5469	B4RXY7
protein_5470	P46303
protein_5471	P63988
protein_5472	Q03WX0
protein_5473	Q0BT56
protein_5474	Q1AWE0
protein_5475	Q81E85
protein_5476	A5CCZ2
protein_5477	B1MZG8
protein_5478	B8IZJ2
protein_5479	O24933
protein_5480	Q1LLJ5
protein_5481	Q1LNG5
protein_5482	Q1LH91
protein_5483	Q1LHL3
protein_5484	P54457
protein_5485	B3QQG1
protein_5486	B6J1C6
protein_5487	B8I2Q1
protein_5488	C1A615
protein_5489	O34942
protein_5490	Q8EQU7
protein_5491	Q0AWG0
protein_5492	A5FPK5
protein_5493	Q02A69
protein_5494	Q601U1
protein_5495	A5EXM6
protein_5496	A5VDM1
protein_5497	A7FUK9
protein_5498	A8MF35
protein_5499	P33906
protein_5500	A9GIS9
protein_5501	O83536
protein_5502	Q68WS8
protein_5503	Q89P00
protein_5504	A0KK57
protein_5505	C1DBV7
protein_5506	Q8K9L6
protein_5507	A8ZWU7
protein_5508	Q31I08
protein_5509	P0AD61
protein_5510	P52643
protein_5511	A9WGB5
protein_5512	P0AC35
protein_5513	Q6A662
protein_5514	A4IPX4
protein_5515	O31623
protein_5516	P21341
protein_5517	P49784
protein_5518	Q81FS9
protein_5519	A6V6L2
protein_5520	B3PI58
protein_5521	Q01WE6
protein_5522	Q3SFG5
protein_5523	A0B7N4
protein_5524	P24138
protein_5525	Q9RNV1
protein_5526	P06653
protein_5527	P37548
protein_5528	P59174
protein_5529	Q8XW26
protein_5530	O69266
protein_5531	P9WKC3
protein_5532	P9WKB3
protein_5533	P9WL64
protein_5534	Q7V1D3
protein_5535	Q88UZ8
protein_5536	Q8RDL3
protein_5537	Q9KAC1
protein_5538	Q5WGN4
protein_5539	A5EES8
protein_5540	B3CQ26
protein_5541	P59698
protein_5542	Q60AP9
protein_5543	Q9Z7A6
protein_5544	O31854
protein_5545	B0B7R0
protein_5546	Q182E7
protein_5547	A0AIF6
protein_5548	P08066
protein_5549	A4SZY0
protein_5550	Q4FP29
protein_5551	A0A0H2URK1
protein_5552	Q9I4G8
protein_5553	B9JZ26
protein_5554	Q603S3
protein_5555	Q98PL0
protein_5556	A4J5Q1
protein_5557	A8F5B3
protein_5558	A7GM37
protein_5559	A8LK52
protein_5560	A9KTE7
protein_5561	B1AJ89
protein_5562	B1YKM7
protein_5563	Q7VP41
protein_5564	Q54C70
protein_5565	P33073
protein_5566	A1BE51
protein_5567	Q2GJ42
protein_5568	P27206
protein_5569	L8EBJ9
protein_5570	P0A375
protein_5571	P37958
protein_5572	Q00828
protein_5573	Q180Q8
protein_5574	Q1QCM0
protein_5575	Q2JIB8
protein_5576	Q2SSM4
protein_5577	Q9KCE0
protein_5578	Q07868
protein_5579	P42234
protein_5580	O31510
protein_5581	P16480
protein_5582	A6QAL0
protein_5583	B2IJQ3
protein_5584	Q28VZ6
protein_5585	Q6MFA3
protein_5586	B8IJ00
protein_5587	A5D1P3
protein_5588	A5N2X7
protein_5589	A6VSY6
protein_5590	A8F5R0
protein_5591	A9II69
protein_5592	B0SFG5
protein_5593	O51683
protein_5594	Q4FM37
protein_5595	Q8NKC2
protein_5596	Q03VC2
protein_5597	P24136
protein_5598	P42249
protein_5599	A4X5B6
protein_5600	O31681
protein_5601	A8F1L4
